ingredient_name,url,irritant_free,teen_safe,fragrance_free,paraben_free,gluten_free,soy_free,nut_free,dairy_free,dye_free,silicon_free,sulphate_free,latex_free,sesame_free,citrus_free,seafood_free,vegan,vegetarian,paleo,unscented,scent_free
"1,3-PROPANEDIAMINE, N,N''-,12-ETHANEDIYLBIS-",https://www.skinsafeproducts.com/ingredients/1-3-propanediamine-n-n-12-ethanediylbis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-bis (aminomethyl) cyclohexane",https://www.skinsafeproducts.com/ingredients/1-3-bis-aminomethyl-cyclohexane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-bis-(2,4-diaminophenoxy) propane hcl",https://www.skinsafeproducts.com/ingredients/1-3-bis-2-4-diaminophenoxy-propane-hcl,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-butanediol",https://www.skinsafeproducts.com/ingredients/1-3-butanediol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-butanediol-dimethacrylate",https://www.skinsafeproducts.com/ingredients/1-3-butanediol-dimethacrylate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-dimethyl-3-phenylbutyl acetate",https://www.skinsafeproducts.com/ingredients/1-3-dimethyl-3-phenylbutyl-acetate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-dioxolane",https://www.skinsafeproducts.com/ingredients/1-3-dioxolane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3-propanediol",https://www.skinsafeproducts.com/ingredients/1-3-propanediol-5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,3‐Diphenylguanidine",https://www.skinsafeproducts.com/ingredients/1-3-diphenylguanidine,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,4-Butanediol",https://www.skinsafeproducts.com/ingredients/1-4-butanediol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,4-Butanediol dimethacrylate",https://www.skinsafeproducts.com/ingredients/1-4-butanediol-dimethacrylate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,4-Diaminobutane Dihydrochloride (Polyamine-DAB®)",https://www.skinsafeproducts.com/ingredients/1-4-diaminobutane-dihydrochloride-polyamine-dab,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,4-Dioxane",https://www.skinsafeproducts.com/ingredients/1-4-dioxane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,4-cyclohexadiene",https://www.skinsafeproducts.com/ingredients/1-4-cyclohexadiene,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,5,5,9‐tetramethyl‐13‐oxatricyclo(8.3.0.0(4,9)) tridecane",https://www.skinsafeproducts.com/ingredients/1-5-5-9-tetramethyl-13-oxatricyclo-8-3-0-0-4-9-tridecane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
